,index,seed,batch_size,learning_rate,accuracy
150,16,1168912469,70,0.005,99.00999999999999
151,16,1168912469,70,0.01,98.91
152,17,1216801442,10,0.001,99.31
153,17,1216801442,10,0.005,99.4
154,17,1216801442,10,0.01,99.27
155,17,1216801442,40,0.001,99.26
156,17,1216801442,40,0.005,99.27
157,17,1216801442,40,0.01,99.37
158,17,1216801442,70,0.001,99.11999999999999
159,17,1216801442,70,0.005,98.85000000000001
160,17,1216801442,70,0.01,98.95
161,18,129244964,10,0.001,99.38
162,18,129244964,10,0.005,99.27
163,18,129244964,10,0.01,99.13
164,18,129244964,40,0.001,99.36
165,18,129244964,40,0.005,99.47
166,18,129244964,40,0.01,99.36
167,18,129244964,70,0.001,99.11
168,18,129244964,70,0.005,98.8
169,18,129244964,70,0.01,98.82
170,19,1298172020,10,0.001,99.38
171,19,1298172020,10,0.005,99.22
172,19,1298172020,10,0.01,98.97
173,19,1298172020,40,0.001,99.42
174,19,1298172020,40,0.005,99.35000000000001
175,19,1298172020,40,0.01,99.45
176,19,1298172020,70,0.001,99.03
177,19,1298172020,70,0.005,99.13
178,19,1298172020,70,0.01,98.91
179,20,1306727413,10,0.001,99.33
180,20,1306727413,10,0.005,99.15
181,20,1306727413,10,0.01,99.28
182,20,1306727413,40,0.001,99.39
183,20,1306727413,40,0.005,99.36
184,20,1306727413,40,0.01,99.28
185,20,1306727413,70,0.001,99.11
186,20,1306727413,70,0.005,99.15
187,20,1306727413,70,0.01,99.09
196,22,1329815236,10,0.001,99.22
197,22,1329815236,10,0.005,99.11999999999999
198,22,1329815236,10,0.01,99.22
199,22,1329815236,40,0.001,99.42
200,22,1329815236,40,0.005,99.35000000000001
201,22,1329815236,40,0.01,99.21
202,22,1329815236,70,0.001,98.92999999999999
203,22,1329815236,70,0.005,98.77
204,22,1329815236,70,0.01,98.89
205,23,1360369472,10,0.001,99.17
206,23,1360369472,10,0.005,99.47
207,23,1360369472,10,0.01,99.22
208,23,1360369472,40,0.001,99.38
209,23,1360369472,40,0.005,99.25
210,23,1360369472,40,0.01,99.36
211,23,1360369472,70,0.001,98.94
212,23,1360369472,70,0.005,99.21
213,23,1360369472,70,0.01,99.07000000000001
214,24,1360943022,10,0.001,99.33999999999999
215,24,1360943022,10,0.005,99.27
216,24,1360943022,10,0.01,99.28
217,24,1360943022,40,0.001,99.52
218,24,1360943022,40,0.005,99.35000000000001
219,24,1360943022,40,0.01,99.5
220,24,1360943022,70,0.001,99.19
221,24,1360943022,70,0.005,99.02
222,24,1360943022,70,0.01,98.99
223,25,1407190170,10,0.001,99.36
224,25,1407190170,10,0.005,99.17
225,25,1407190170,10,0.01,99.15
226,25,1407190170,40,0.001,99.45
227,25,1407190170,40,0.005,99.35000000000001
228,25,1407190170,40,0.01,99.25
229,25,1407190170,70,0.001,98.96000000000001
230,25,1407190170,70,0.005,98.36
231,25,1407190170,70,0.01,98.82
232,26,1428135644,10,0.001,99.27
233,26,1428135644,10,0.005,99.32
234,26,1428135644,10,0.01,99.22
235,26,1428135644,40,0.001,99.5
236,26,1428135644,40,0.005,99.33999999999999
237,26,1428135644,40,0.01,99.33
238,26,1428135644,70,0.001,99.36
239,26,1428135644,70,0.005,98.79
240,26,1428135644,70,0.01,98.91
241,27,1460998896,10,0.001,99.38
242,27,1460998896,10,0.005,99.31
243,27,1460998896,10,0.01,99.17
244,27,1460998896,40,0.001,99.49
245,27,1460998896,40,0.005,99.26
246,27,1460998896,40,0.01,99.3
247,27,1460998896,70,0.001,99.25
248,27,1460998896,70,0.005,98.94
249,27,1460998896,70,0.01,98.88
250,28,1484821742,10,0.001,99.28
251,28,1484821742,10,0.005,99.31
252,28,1484821742,10,0.01,99.21
253,28,1484821742,40,0.001,99.46000000000001
254,28,1484821742,40,0.005,99.27
255,28,1484821742,40,0.01,99.3
256,28,1484821742,70,0.001,99.11999999999999
257,28,1484821742,70,0.005,98.92999999999999
258,28,1484821742,70,0.01,98.91
259,29,1489909827,10,0.001,99.32
260,29,1489909827,10,0.005,99.29
261,29,1489909827,10,0.01,99.22
262,29,1489909827,40,0.001,99.36
263,29,1489909827,40,0.005,99.33999999999999
264,29,1489909827,40,0.01,99.37
265,29,1489909827,70,0.001,99.07000000000001
266,29,1489909827,70,0.005,98.92
267,29,1489909827,70,0.01,98.76
268,30,1500011452,10,0.001,99.22
269,30,1500011452,10,0.005,99.31
270,30,1500011452,10,0.01,99.21
271,30,1500011452,40,0.001,99.45
272,30,1500011452,40,0.005,99.29
273,30,1500011452,40,0.01,99.32
274,30,1500011452,70,0.001,99.1
275,30,1500011452,70,0.005,98.96000000000001
276,30,1500011452,70,0.01,98.99
277,31,1608026798,10,0.001,99.21
278,31,1608026798,10,0.005,99.29
279,31,1608026798,10,0.01,99.27
280,31,1608026798,40,0.001,99.37
281,31,1608026798,40,0.005,99.31
282,31,1608026798,40,0.01,99.22999999999999
283,31,1608026798,70,0.001,99.26
284,31,1608026798,70,0.005,99.11999999999999
285,31,1608026798,70,0.01,98.83999999999999
286,32,1657595646,10,0.001,99.11
287,32,1657595646,10,0.005,99.24
288,32,1657595646,10,0.01,99.32
289,32,1657595646,40,0.001,99.37
290,32,1657595646,40,0.005,99.3
291,32,1657595646,40,0.01,99.33999999999999
292,32,1657595646,70,0.001,98.96000000000001
293,32,1657595646,70,0.005,99.03999999999999
294,32,1657595646,70,0.01,98.99
295,33,1774820585,10,0.001,99.22999999999999
296,33,1774820585,10,0.005,99.11
297,33,1774820585,10,0.01,99.17
298,33,1774820585,40,0.001,99.6
299,33,1774820585,40,0.005,99.22999999999999
