index,fusion method,rgb_equalization,th_equalization,R,P,mAP50,mAP50-95
68,VT,clahe,none,0.9202601782702963,0.9626784227724291,0.9708326249381276,0.6659619981026916
69,VT,clahe,none,0.9191240445456297,0.9646043106453893,0.9711228721212757,0.6662493187483534
70,VT,clahe,none,0.9278487111539389,0.9555832381333258,0.9725289515786536,0.6700463676371843
71,VT,clahe,none,0.9248966805880803,0.9681018409552576,0.9707945743145489,0.6672730202027435
72,VT,clahe,none,0.9192953895033715,0.9585530769775767,0.969912375266829,0.6637091334756443
73,VT,clahe,none,0.9260419176102144,0.9605308771172172,0.9722257974451459,0.6632771355626097
74,VT,clahe,none,0.9321477584546725,0.9626804895803153,0.9750272094837161,0.6670913313782799
75,VT,clahe,none,0.9307356018991769,0.9649099451459886,0.9724104544011755,0.6700360648815421
76,VT,clahe,none,0.9223159904923336,0.960607533922095,0.9710862266122858,0.6660045402100413
77,VT,clahe,none,0.9160313650195606,0.9614406890337078,0.9678080890310989,0.6507407008664989
78,VT,clahe,none,0.9344966101570936,0.959911859732402,0.9738846552358517,0.6734929769965233
79,VT,clahe,none,0.9307395808238978,0.9577743479397866,0.9750607692985619,0.6683164428020987
80,VT,clahe,none,0.9113466634545893,0.9540210809270175,0.9671704839988591,0.6584396236357286
81,VT,clahe,none,0.9201685079786741,0.9583502636293161,0.9687608658457313,0.6573586349387025
82,VT,clahe,none,0.9237561660271048,0.9593446288494675,0.9719042821963878,0.6575135390093643
83,VT,clahe,none,0.9339376958263974,0.953397155082878,0.9749427006992303,0.6662967668125127
84,VT,clahe,none,0.9247169356781498,0.9614527893604362,0.9714263836001871,0.6631344585960869
85,VT,clahe,none,0.9227896892315105,0.9627616959098203,0.9690648175763867,0.6626493544082608
86,VT,clahe,none,0.9237040380941449,0.9576651699013382,0.9708058729823508,0.6626075242700524
87,VT,clahe,none,0.9335210501596111,0.9617775511090155,0.9746554746809765,0.6707092180968954
88,VT,clahe,none,0.9043603950855216,0.9557765132045851,0.9628741628048139,0.6524654054369762
89,VT,clahe,none,0.9258010118043845,0.9622906667760759,0.9706829849974398,0.6640682875346584
90,VT,none,clahe,0.8878088318785339,0.949746081711752,0.9495046540688827,0.6431773520133687
91,VT,none,clahe,0.884967477716213,0.9458575383641983,0.9511395015452119,0.6379311406940696
92,VT,none,clahe,0.8868732620840547,0.9567297673291826,0.9469137023304066,0.6406586639028469
93,VT,none,clahe,0.8779812093471453,0.9036482139855873,0.927451602384695,0.6122598146993913
94,VT,none,clahe,0.8702227080529498,0.9352716361917848,0.9413207041239385,0.6338481996279156
95,VT,none,clahe,0.8837629486870634,0.9449024788415987,0.9479410903161023,0.644730369314584
96,VT,none,clahe,0.8859311009395326,0.956316774419254,0.9457002894988635,0.6428425966391218
97,VT,none,clahe,0.8873765357745121,0.9443035869539929,0.9477853771162389,0.6442554648377076
98,VT,none,clahe,0.8714767525897374,0.9530281208550063,0.9418545766223204,0.6376102412900965
99,VT,none,clahe,0.8971715331327473,0.9506082589110971,0.9503601993445301,0.6437223009671176
100,VT,none,clahe,0.8996627318718381,0.9594906901731962,0.9554623670672296,0.6525838442436337
101,VT,none,clahe,0.8707540351722477,0.939923101342354,0.9390647164294431,0.6274571848593584
102,VT,none,clahe,0.8795470970850398,0.9473984465606461,0.9417278092223692,0.6420929990706558
103,VT,none,clahe,0.8901469525415563,0.957842376072344,0.9488183980431496,0.6401217908793606
104,VT,none,clahe,0.8898447954097196,0.9531642603686752,0.9491103418717705,0.6386123546469318
105,VT,none,clahe,0.8950482945002337,0.9548941221256735,0.9556747176208006,0.6475620288195286
106,VT,none,clahe,0.8890256192111167,0.9507902586132311,0.951598077933035,0.646232825818162
107,VT,none,clahe,0.8679836184052035,0.9552794638607347,0.937813309192286,0.6290384412594074
108,VT,none,clahe,0.8995449717765626,0.9515801582981773,0.9527733667653081,0.6505752105480693
109,VT,none,clahe,0.8661768248614792,0.9417610109242188,0.9343205538916346,0.6134075423683798
110,VT,none,clahe,0.886311389684071,0.9360145089301397,0.9463905640298229,0.6413687711747736
111,VT,none,clahe,0.8826508090841986,0.9412956097017807,0.9453978089641599,0.6404346493556797
112,VT,none,clahe,0.8865333654541074,0.9493813795394448,0.9517923912162803,0.6426523942620948
113,VT,none,clahe,0.8835807219730772,0.9393045929130152,0.9458693738034707,0.6440955077637265
114,VT,none,clahe,0.8861720067453626,0.9486364289501371,0.9466994816664839,0.6434956103183749
115,VT,none,clahe,0.8581064803661769,0.9374125643155848,0.935902630131976,0.6099190853544866
116,VT,none,clahe,0.9018308841243073,0.9475667980534204,0.9550424650506957,0.6463062862449485
117,VT,none,clahe,0.8951809554676333,0.9451848675222104,0.9546452568938322,0.6500877068280706
118,VT,none,clahe,0.8751282298921422,0.9469521227178956,0.9505757258307533,0.6436049512227776
119,VT,none,clahe,0.8977354854251988,0.9578473908506462,0.9554578339078892,0.6453321321097928
120,VTHS,none,none,0.9049626596000964,0.9613821460215028,0.9600260581274402,0.6577741497148388
121,VTHS,none,none,0.8958418789784727,0.9516332062185148,0.9556603051373116,0.6514583708796674
122,VTHS,none,none,0.9157493074862384,0.9616724993928099,0.9678215911896982,0.6577982247189943
123,VTHS,none,none,0.9149602505420381,0.9562063074815187,0.965106975217712,0.6596834946942105
124,VTHS,none,none,0.8831606841724886,0.9531247773910584,0.9484884930263622,0.639013264333242
125,VTHS,none,none,0.9178511202119971,0.9608603422068328,0.968192040214181,0.6785396195156977
126,VTHS,none,none,0.9247169356781498,0.9657424597874684,0.9698488615385821,0.6707457896260807
