index,seed,epsilon,learning_rate,mse_x100
136,745292537,10,0.0001,1.046087
236,1369021779,10,0.0001,1.057607
548,2936084114,10,0.0001,0.948495
69,444967542,10,0.0001,1.049688
52,348011699,10,0.0001,0.888737
615,3246934513,10,0.0001,0.957766
619,3261192944,10,0.0001,1.230304
496,2621121542,10,0.0001,0.924231
706,3863076800,10,0.0001,1.03347
618,3258308272,10,0.0001,0.875204
472,2491809171,10,0.0001,1.080675
744,4009565933,10,0.0001,0.977954
524,2727113025,10,0.0001,1.037372
683,3700319749,10,0.0001,1.012616
318,1817351433,10,0.0001,0.974289
760,4076480937,10,0.0001,0.999807
474,2497285268,10,0.0001,0.872863
153,861342595,10,0.0001,1.153893
170,975156646,10,0.0001,1.066448
593,3139800219,10,0.0001,1.063289
441,2364231425,10,0.0001,1.118476
431,2314519495,10,0.0001,1.059222
188,1095492092,10,0.0001,1.027028
726,3944383927,10,0.0001,1.063779
274,1577402820,10,0.0001,1.00343
399,2181939717,10,0.0001,0.999463
610,3225872968,10,0.0001,0.935362
603,3195701073,10,0.0001,1.069094
15,97068529,10,0.0001,1.021357
191,1121587185,10,0.0001,0.959823
649,3492737188,10,0.0001,1.079331
498,2628072843,10,0.0001,0.959565
722,3922118773,10,0.0001,0.987194
611,3230041760,10,0.0001,1.023223
786,4210724956,10,0.0001,0.889899
31,183012214,10,0.0001,0.97762
785,4195440107,10,0.0001,0.895374
231,1346417140,10,0.0001,1.160001
674,3643118410,10,0.0001,1.100121
79,482127173,10,0.0001,1.118382
735,3996180060,10,0.0001,0.931069
176,999852485,10,0.0001,1.006733
202,1164060874,10,0.0001,0.980008
469,2477678121,10,0.0001,1.14206
310,1753180552,10,0.0001,1.112505
780,4168287510,10,0.0001,1.027327
423,2280642471,10,0.0001,1.072756
573,3054920737,10,0.0001,1.022998
247,1438534482,10,0.0001,1.028495
279,1617926037,10,0.0001,1.038232
268,1562716170,10,0.0001,1.014951
373,2098673600,10,0.0001,1.018374
316,1799224522,10,0.0001,0.950239
96,580856335,10,0.0001,1.07077
455,2437514316,10,0.0001,1.048506
550,2943338877,10,0.0001,0.877822
572,3053424193,10,0.0001,1.063044
518,2694091579,10,0.0001,0.904444
468,2473271835,10,0.0001,0.976085
148,836139446,10,0.0001,1.160846
482,2541197181,10,0.0001,1.014585
769,4112185530,10,0.0001,1.049514
624,3294013000,10,0.0001,1.015457
351,1971484166,10,0.0001,0.841305
629,3321819506,10,0.0001,1.044313
252,1472390359,10,0.0001,1.041349
764,4095548901,10,0.0001,1.059849
654,3504972200,10,0.0001,0.961285
650,3492893491,10,0.0001,0.939501
532,2799390178,10,0.0001,1.028981
